tag,type,sha,date
1.16.0-amd64-hu-hu-szabolcs,Docker Image,sha256:02953257771e3f15a4a7c867c1964caf87d82ff6f87c52d181d206401351983e,09/29/2021
1.16.0-amd64-hr-hr-matej,Docker Image,sha256:bfc6973542e59d02178bffbaf628bdf165cfaee00f44926997471b82c9c7e7c1,09/29/2021
1.16.0-amd64-hi-in-hemant,Docker Image,sha256:299910634c6170279e2f67c5867891a17b17e0131816a609e6f03cf45aa5dab5,09/29/2021
1.16.0-amd64-hi-in-kalpana-apollo,Docker Image,sha256:87087ed2a2c87e8919000345591127ef1f8978c635a1ed6cb4af64b315803136,09/29/2021
1.16.0-amd64-hi-in-kalpana,Docker Image,sha256:87087ed2a2c87e8919000345591127ef1f8978c635a1ed6cb4af64b315803136,09/29/2021
1.16.0-amd64-he-il-asaf,Docker Image,sha256:805449f10ddab13dbd3b893d789e560657e2fdd91c18eb7166b56c07e9414905,09/29/2021
1.16.0-amd64-fr-ca-harmonierus,Docker Image,sha256:542b21851d004070be6badd2102fe6b9f7469b9ffdd275b6ed6e55e0a4e964c7,09/29/2021
1.16.0-amd64-fr-fr-julie-apollo,Docker Image,sha256:0cf3e5c9a97dd90f4b370cb72578f4b618a8bdb9a7dac6b5088d310a6863ce4d,09/29/2021
1.16.0-amd64-fr-fr-paul-apollo,Docker Image,sha256:911b740ddc5be923053120dac1f45ebd342432ad7d50109b688200afee897132,09/29/2021
1.16.0-amd64-fi-fi-heidirus,Docker Image,sha256:0ce053d022d3c4ccc92d91d49cd61ef6feac7f5ff148bb43000c29232c50bae1,09/29/2021
1.16.0-amd64-es-mx-hildarus,Docker Image,sha256:6eadbb5832de22a1ecf39113d31335ce15e18c0042fa40fa76f0406f1778cb4d,09/29/2021
1.16.0-amd64-fr-ch-guillaume,Docker Image,sha256:4b0a02758f482772172f3b352ca3d18ba65b8d688d94d0eb593921f5132e6142,09/29/2021
1.16.0-amd64-fr-ca-caroline,Docker Image,sha256:2f2bd96d93ad5b58c1a22634d4a56c6072dfe88b32e60b20f86d912741420e77,09/29/2021
1.16.0-amd64-en-us-guy24krus,Docker Image,sha256:861887384a3ac97cfbe38731a9b539bdd2ac9eeb6e420d5bc32e255ecb3b5256,09/29/2021
1.16.0-amd64-es-es-helenarus,Docker Image,sha256:d369e060d515ccd91b2e2b0bda667229f71ff7742a3d69c4df17ee92be21cfee,09/29/2021
1.16.0-amd64-es-mx-raul-apollo,Docker Image,sha256:30f214d02f71862e32cda83c96251a4d0db6f68ae2fa727bcc4aa83e6a631d14,09/29/2021
1.16.0-amd64-es-es-pablo-apollo,Docker Image,sha256:c6548d27cec3575d3f29597ad8c156cbcfe0c61ad8b3d7d60f6a36c01585c6fd,09/29/2021
1.16.0-amd64-es-es-laura-apollo,Docker Image,sha256:a8f8e84610aa7b9b5372945faab25b1fee86755a647c25eac6fe8819c9162ff6,09/29/2021
1.16.0-amd64-en-us-zirarus,Docker Image,sha256:af47a1caa955f1eb02871086cd06faa408657a5e43517e97cbb11359b6e8db89,09/29/2021
1.16.0-amd64-en-gb-hazelrus,Docker Image,sha256:2ccde3547c9a10b01b3fe6960b67cdc25853a924e9ca60ccd6427e8ed6abb545,09/29/2021
1.16.0-amd64-en-in-priyarus,Docker Image,sha256:fff6f29567118d8e5f755b879e15c3c729dfb6cdc92c4348abd475618d8e2273,09/29/2021
1.16.0-amd64-en-us-benjaminrus,Docker Image,sha256:1ed2eb5c91bcccde4910b1f0fb4dd903d450bf7d11292d51ca993fb9f761037a,09/29/2021
1.16.0-amd64-en-in-ravi-apollo,Docker Image,sha256:4bd5fa9aa95beb070139a0959db9f2b7fd0a4a0321574973ff510a0cb2e5aa91,09/29/2021
